productcategory,productsubcategory,saleterritory,State,Customer,OrderCount,OrderDate,Sales,Country,Territory
Clothing,Caps,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,15.5595,US,Casper
Clothing,Caps,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,10.373,US,Seattle
Components,Mountain Frames,Northwest,Washington,Carolyn Farino,1,5/31/2011 0:00,714.7043,US,Puyallup
Clothing,Jerseys,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,57.6808,US,Casper
Clothing,Jerseys,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,57.6808,US,Seattle
Clothing,Jerseys,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,57.6808,US,Port Orchard
Clothing,Jerseys,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,28.8404,US,Port Orchard
Components,Road Frames,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,713.796,US,Port Orchard
Clothing,Socks,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,34.2,US,Casper
Clothing,Socks,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,34.2,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,8099.976,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,4049.988,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,4049.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,2024.994,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,12149.964,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,4049.988,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,10124.97,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,2024.994,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,2039.994,US,Casper
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,4079.988,US,Casper
Bikes,Mountain Bikes,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,2039.994,US,Seattle
Bikes,Mountain Bikes,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,2039.994,US,Casper
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,2146.962,US,Port Orchard
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,874.794,US,Port Orchard
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,5/31/2011 0:00,2624.382,US,Everett
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,1749.588,US,Port Orchard
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,838.9178,US,Port Orchard
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,5/31/2011 0:00,419.4589,US,Everett
Bikes,Road Bikes,Northwest,Washington,Karren Burkhardt,1,5/31/2011 0:00,419.4589,US,Everett
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,838.9178,US,Port Orchard
Bikes,Road Bikes,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,838.9178,US,Port Orchard
Accessories,Helmets,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,20.1865,US,Casper
Accessories,Helmets,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,20.1865,US,Port Orchard
Accessories,Helmets,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,40.373,US,Casper
Accessories,Helmets,Northwest,Washington,Peggy Justice,1,5/31/2011 0:00,20.1865,US,Port Orchard
Accessories,Helmets,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,40.373,US,Seattle
Accessories,Helmets,Northwest,Wyoming,François Ferrier,1,5/31/2011 0:00,60.5595,US,Casper
Accessories,Helmets,Northwest,Washington,Richard Bready,1,5/31/2011 0:00,20.1865,US,Seattle
Clothing,Caps,Northwest,Washington,David Johnson,1,7/1/2011 0:00,20.746,US,Longview
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,1429.4086,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,2144.1129,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,809.76,US,Kent
Components,Mountain Frames,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,818.7,US,Kent
Components,Road Frames,Northwest,Washington,David Johnson,1,7/1/2011 0:00,357.1616,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,7/1/2011 0:00,367.8764,US,Longview
Components,Road Frames,Northwest,Washington,David Johnson,1,7/1/2011 0:00,551.8146,US,Longview
Clothing,Jerseys,Northwest,Washington,David Johnson,1,7/1/2011 0:00,173.0424,US,Longview
Clothing,Socks,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,11.4,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,7/1/2011 0:00,2024.994,US,Troutdale
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,7/1/2011 0:00,8099.976,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,6074.982,US,Kent
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,4049.988,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,7/1/2011 0:00,2024.994,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,6074.982,US,Kent
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,7/1/2011 0:00,4079.988,US,Troutdale
Bikes,Mountain Bikes,Northwest,Oregon,Cindy Dodd,1,7/1/2011 0:00,2039.994,US,Troutdale
Bikes,Mountain Bikes,Northwest,Washington,Scott Gode,1,7/1/2011 0:00,4079.988,US,Kent
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,4293.924,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,6123.558,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,4373.97,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,838.9178,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,1258.3767,US,Longview
Bikes,Road Bikes,Northwest,Washington,David Johnson,1,7/1/2011 0:00,419.4589,US,Longview
Accessories,Helmets,Northwest,Washington,David Johnson,1,7/1/2011 0:00,60.5595,US,Longview
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,714.7043,US,Tacoma
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,1429.4086,US,Tacoma
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,722.5949,US,Tacoma
Components,Mountain Frames,Northwest,Washington,Henry Campen,1,8/1/2011 0:00,818.7,US,Tacoma
Clothing,Socks,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,17.1,US,Kent
Clothing,Socks,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,5.7,US,Woodinville
Clothing,Socks,Northwest,Washington,Jean Handley,1,8/1/2011 0:00,11.4,US,Kent
Clothing,Socks,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,11.4,US,Woodinville
Bikes,Mountain Bikes,Northwest,Washington,Jovita Carmody,1,8/1/2011 0:00,4049.988,US,Woodinville
